the_geom,OBJECTID,PLACENAME,PLACETYPE,ADDRESS,CITY,ZIP,SOURCE,UNIQUEID,SYMBOLOGYQUERY,LATITUDE,LONGITUDE,LASTUPDATE,EDITOR,NOTES,POICatagory
POINT (-121.885969142705 37.335812735905),30,King Library,Library,150 E. San Fernando St.,San Jose,95112,Web,302012LIB,Scale1 2 3 4,37.335807789999997,-121.88595606,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.570291046016 37.010614021857),3,Gilroy Library,Library,7652 Monterey Street,Gilroy,95020,Web,32012LIB,,37.010609080000002,-121.57027804000001,08/08/2012 12:00:00 AM +0000,ISD - GIS,Gilroy Library (Temp location),Public
POINT (-121.840748472711 37.311895367172),34,Tully Community Branch Library,Library,880 Tully Rd.,San Jose,95111,Web,342012LIB,,37.311890419999997,-121.8407354,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.86745803963 37.221295655175),19,Almaden Branch Library,Library,6445 Camden Ave.,San Jose,95120,Web,192012LIB,,37.221290719999999,-121.86744496999999,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-122.107147488915 37.418049082704),16,Palo Alto Mitchell Park Library,Library,4050 Middlefield Road,Palo Alto,94303,Web,162012LIB,,37.41804415,-122.10713436,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.973117482662 37.339587768578),17,Central Park Library,Library,2635 Homestead Road,Santa Clara,95051,Web,172012LIB,,37.339582829999998,-121.97310438,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.907118678794 37.432807478209),5,Milpitas Library,Library,160 North Main Street,Milpitas,95035,Web,52012LIB,,37.432802529999996,-121.90710558000001,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-122.114042441246 37.381223537426),4,Los Altos Library,Library,13 South San Antonio Road,Los Altos,94022,Web,42012LIB,,37.381218599999997,-122.11402932,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.915470626961 37.264286883379),24,Cambrian Branch Library,Library,1780 Hillsdale Ave,San Jose,95124,Web,242012LIB,,37.264281949999997,-121.91545755,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-122.148567689181 37.423083443664),13,Palo Alto College Terrace Library,Library,2300 Wellesley Street,Palo Alto,94306,Web,132012LIB,,37.423078510000003,-122.14855455,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.944177850483 37.34760725409),18,Mission Library,Library,1098 Lexington Street,Santa Clara,95050,Web,182012LIB,,37.347602309999999,-121.94416476000001,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.89224590342 37.240271193134),35,Vineland Branch Library,Library,1450 Blossom Hill Rd.,San Jose,95118,Web,352012LIB,,37.240266259999999,-121.89223283,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.894132933811 37.341539015905),9,Santa Clara County Law Library,Library,360 North First Street,San Jose,95113,Web,92012LIB,,37.341534070000002,-121.89411985,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.868598332063 37.346550405275),25,East San Jose Carnegie Branch Library,Library,1102 E. Santa Clara St.,San Jose,95116,Web,252012LIB,,37.346545460000002,-121.86858525,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-122.144983384161 37.444747828219),12,Palo Alto Children's Library,Library,1276 Harriet Street,Palo Alto,94301,Web,122012LIB,,37.444742890000001,-122.14497025,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.880175461974 37.321779131408),23,Biblioteca Latinoamericana Branch Library,Library,921 South First St.,San Jose,95110,Web,232012LIB,,37.321774189999999,-121.88016238,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-122.139165707091 37.444969227116),15,Palo Alto Main Library,Library,1213 Newell Rd,Palo Alto,94303,Web,152012LIB,,37.444964290000001,-122.13915256999999,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.899659184176 37.302580348052),37,Willow Glen Branch Library,Library,1157 Minnesota Ave,San Jose,95125,Web,372012LIB,,37.302575410000003,-121.8996461,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.979019181587 37.221226259095),10,Los Gatos Library,Library,110 E. Main Street,Los Gatos,95030,Web,102012LIB,,37.221221329999999,-121.97900610000001,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.943008998501 37.288283040527),1,Campbell Library,Library,77 Harrison Avenue,Campbell,95008,Web,12012LIB,,37.288278099999999,-121.94299590999999,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.886664364406 37.349790987513),29,Joyce Ellington Branch Library,Library,491 E. Empire St.,San Jose,95112,Web,292012LIB,,37.349786039999998,-121.88665128,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-122.038949466485 37.37137866251),38,Sunnyvale Public Library,Library,665 W. Olive Ave.,Sunnyvale,94086,Web,382012LIB,,37.371373720000001,-122.03893635,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.841074204672 37.393320602669),22,Berryessa Branch Library,Library,3355 Noble Avenue,San Jose,95132,Web,222012LIB,,37.393315649999998,-121.84106112000001,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.79658835585 37.313367289641),27,Evergreen Branch Library,Library,2635 Aborn Rd.,San Jose,95121,Web,272012LIB,,37.313362339999998,-121.79657529000001,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-122.159415057415 37.44395077625),14,Palo Alto  Downtown Library,Library,270 Forest Avenue,Palo Alto,94301,Web,142012LIB,,37.443945839999998,-122.15940191999999,08/08/2012 12:00:00 AM +0000,ISD - GIS,"Palo Alto  Downtown Library (CLOSED for renovation as of April 25, 2010)",Public
POINT (-121.828285694587 37.365655213143),20,Alum Rock Branch Library,Library,3090 Alum Rock Ave.,San Jose,95127,Web,202012LIB,,37.365650260000002,-121.82827262000001,08/08/2012 12:00:00 AM +0000,ISD - GIS,Alum Rock Branch Library (Dr. Roberto Cruz - Alum Rock),Public
POINT (-121.801458218688 37.23841013719),33,Santa Teresa Branch Library,Library,290 International Circle,San Jose,95119,Web,332012LIB,,37.238405190000002,-121.80144516,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-122.075381092146 37.344088349538),8,Woodland Branch Library,Library,1975 Grant Road,Los Altos,94024,Web,82012LIB,,37.344083419999997,-122.07536798,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.662605234739 37.123851141436),6,Morgan Hill Library,Library,660 West Main Avenue,Morgan Hill,95037,Web,62012LIB,,37.123846200000003,-121.66259221,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-122.084294596993 37.389560792167),11,Mountain View Library,Library,585 Franklin Street,Mountain View,94041,Web,112012LIB,,37.389555860000002,-122.08428148,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.967673791864 37.423962371868),21,Alviso Branch Library,Library,5050 North First St.,San Jose,95002,Web,212012LIB,,37.423957420000001,-121.96766067999999,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.831765989673 37.337767044055),28,Hillview Branch Library,Library,1600 Hopkins Dr.,San Jose,95122,Web,282012LIB,,37.337762089999998,-121.83175291000001,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.978603265072 37.302676372932),36,West Valley Branch Library,Library,1243 San Tomas Aquino Rd.,San Jose,95117,Web,362012LIB,,37.302671439999997,-121.97859017,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-122.028729147261 37.318907807505),2,Cupertino Library,Library,10800 Torre Avenue,Cupertino,95014,Web,22012LIB,,37.318902870000002,-122.02871604000001,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.926463422258 37.332049870538),32,Rose Garden Branch Library,Library,1580 Naglee Ave.,San Jose,95126,Web,322012LIB,,37.332044930000002,-121.92645032999999,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-122.016724474683 37.269910614439),7,Saratoga Library,Library,13650 Saratoga Avenue,Saratoga,95070,Web,72012LIB,,37.269905680000001,-122.01671138,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.866806647725 37.267549785074),31,Pearl Avenue Branch Library,Library,4270 Pearl Ave.,San Jose,95136,Web,312012LIB,,37.267544839999999,-121.86679357,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
POINT (-121.820882226164 37.267920330973),26,Edenvale Branch Library,Library,101 Branham Lane East,San Jose,95111,Web,262012LIB,,37.267915389999999,-121.82086916,08/08/2012 12:00:00 AM +0000,ISD - GIS,,Public
