City,Median Price,2018 Change,2017 Change,2016 Change
Atherton,"US$6,650,000 ",40.00%,-19.80%,0.40%
Belmont,"US$1,825,000 ",10.10%,8.70%,1.00%
Brisbane,"US$1,200,000 ",22.40%,5.40%,16.00%
Burlingame,"US$2,400,000 ",12.30%,4.80%,4.60%
Campbell,"US$1,495,000 ",10.50%,16.10%,7.60%
Cupertino,"US$2,371,000 ",12.60%,12.00%,1.60%
Daly City,"US$1,030,000 ",10.80%,10.90%,6.90%
East Palo Alto,"US$990,000 ",15.10%,14.70%,16.30%
Foster City,"US$1,900,000 ",7.00%,10.90%,1.90%
Fremont,"US$1,232,000 ",14.60%,7.50%,5.50%
Hayward,"US$710,000 ",9.20%,10.20%,6.30%
Hillsborough,"US$4,267,334 ",15.30%,-5.10%,-5.70%
Los Altos,"US$3,400,000 ",12.20%,11.60%,-1.30%
Los Altos Hills,"US$4,850,000 ",24.40%,0.60%,5.10%
Los Gatos,"US$2,150,000 ",8.90%,13.00%,1.90%
Menlo Park,"US$2,625,000 ",12.70%,13.60%,1.30%
Millbrae,"US$1,750,000 ",8.00%,7.30%,8.60%
Milpitas,"US$1,175,000 ",16.90%,14.90%,3.90%
Monte Sereno,"US$3,500,000 ",20.00%,16.70%,-9.10%
Mountain View,"US$2,350,000 ",16.60%,16.80%,0.90%
Newark,"US$980,000 ",18.10%,6.50%,9.70%
Pacifica,"US$1,100,000 ",15.20%,9.10%,9.40%
Palo Alto,"US$3,200,000 ",8.50%,15.70%,-4.30%
Portola Valley,"US$3,330,000 ",11.00%,11.10%,2.30%
Redwood City,"US$1,695,000 ",9.00%,10.30%,6.30%
Redwood Shores,"US$2,025,000 ",9.50%,10.10%,5.00%
San Bruno,"US$1,200,000 ",9.10%,18.50%,4.90%
San Carlos,"US$1,950,000 ",9.90%,4.40%,5.90%
San Jose,"US$1,188,000 ",18.20%,12.40%,6.40%
San Mateo,"US$1,620,000 ",10.20%,10.90%,3.90%
Santa Clara,"US$1,500,000 ",17.20%,19.60%,9.10%
Saratoga,"US$2,810,000 ",11.20%,7.50%,2.20%
South San Francisco,"US$1,100,000 ",16.40%,9.90%,5.50%
Sunnyvale,"US$1,888,750 ",8.70%,15.90%,6.70%
Union City,"US$1,050,000 ",20.70%,7.70%,3.60%
Woodside,"US$3,500,000 ",42.90%,-15.70%,1.90%
