the_geom,OBJECTID,PLACENAME,PLACETYPE,ADDRESS,CITY,ZIP,SOURCE,UNIQUEID,SYMBOLOGYQUERY,LATITUDE,LONGITUDE,LASTUPDATE,EDITOR,NOTES,POICatagory
POINT (-122.075692381584 37.394238165016),5,Mountain View Station,Railroad Station,,Mountain View,,VTA,52012RRS,<Null>,37.394233229999998,-122.07567926,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MAJOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-122.142605867004 37.429015624824),3,California Ave Station,Railroad Station,,California Ave,,VTA,32012RRS,<Null>,37.429010689999998,-122.14259273,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MINOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-121.902489166532 37.329925550574),10,San Jose Diridon Station,Railroad Station,,San Jose Diridon,,VTA,102012RRS,<Null>,37.329920610000002,-121.90247608,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MAJOR   Caltrain:  YES   ACE:  YES   Amtrak:  YES,Transportation
POINT (-121.915491194643 37.342665797012),9,College Park Station,Railroad Station,,College Park,,VTA,92012RRS,<Null>,37.342660850000001,-121.9154781,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MINOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-121.8831714165 37.312215202621),11,Tamien Station,Railroad Station,,Tamien,,VTA,112012RRS,<Null>,37.312210260000001,-121.88315833,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MINOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-121.610797370155 37.086128125174),15,San Martin Station,Railroad Station,,San Martin,,VTA,152012RRS,<Null>,37.086123180000001,-121.61078435,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MINOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-121.841749411361 37.28397296105),12,Capitol Station,Railroad Station,,Capitol,,VTA,122012RRS,<Null>,37.283968020000003,-121.84173634,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MINOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-121.96701475642 37.406580475953),17,Great America Station,Railroad Station,,Great America,,VTA,172012RRS,<Null>,37.406575529999998,-121.96700165,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:     Caltrain:  NO   ACE:  YES   Amtrak:  YES,Transportation
POINT (-121.996913667684 37.370945673852),7,Lawrence Station,Railroad Station,,Lawrence,,VTA,72012RRS,<Null>,37.370940730000001,-121.99690056,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MINOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-121.566917054865 37.004432904039),16,Gilroy Station,Railroad Station,,Gilroy,,VTA,162012RRS,<Null>,37.004427960000001,-121.56690405000001,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MAJOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-121.650327727343 37.129136185488),14,Morgan Hill Station,Railroad Station,,Morgan Hill,,VTA,142012RRS,<Null>,37.12913124,-121.6503147,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MINOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-122.165305273319 37.443523568409),1,Palo Alto Station,Railroad Station,,Palo Alto,,VTA,12012RRS,<Null>,37.44351863,-122.16529213,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MAJOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-122.029857457386 37.377822811384),6,Sunnyvale Station,Railroad Station,,Sunnyvale,,VTA,62012RRS,<Null>,37.377817870000001,-122.02984435,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MINOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-121.936607265718 37.352911284511),8,Santa Clara Station,Railroad Station,,Santa Clara,,VTA,82012RRS,<Null>,37.352906339999997,-121.93659417000001,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MAJOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-122.107216138479 37.407229826129),4,San Antonio Station,Railroad Station,,San Antonio,,VTA,42012RRS,<Null>,37.407224890000002,-122.10720301000001,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MINOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-121.797395686979 37.252351544832),13,Blossom Hill Station,Railroad Station,,Blossom Hill,,VTA,132012RRS,<Null>,37.252346600000003,-121.79738261999999,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MINOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
POINT (-122.157233231227 37.438850655219),2,Stanford Station,Railroad Station,,Stanford,,VTA,22012RRS,<Null>,37.438845720000003,-122.15722009,01/15/2012 12:00:00 AM +0000,ISD - GIS,Class:  MINOR   Caltrain:  YES   ACE:  NO   Amtrak:  NO,Transportation
