the_geom,OBJECTID,PLACENAME,PLACETYPE,ADDRESS,CITY,ZIP,SOURCE,UNIQUEID,SYMBOLOGYQUERY,LATITUDE,LONGITUDE,LASTUPDATE,EDITOR,NOTES,EditingNotes,ID_NCES,CD_CODE,CDS_CODE,DISTRICT_NAME,DISTRICT_TYPE,DISTRICT_NAME_SHORT,GEOID10
POINT (-122.009246051769 37.320805742214),143,Cupertino High,Public School,10100 Finch Avenue,Cupertino,95014,School Website 2014/CA_DEPT_EDU,43694684331799,,37.320800810000001,-122.00923295,09/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  High School District,Both,,4369468,43694684334462,Fremont Union High,High School District,Fremont Union High,0614430
POINT (-121.858075027766 37.410637190204),296,Majestic Way Elementary,Public School,1855 Majestic Way,San Jose,95132,School Website 2014/CA_DEPT_EDU,43693776095343,,37.410632239999998,-121.85806194,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369377,43693776111348,Berryessa Union Elementary,Elementary School District,Berryessa Union Elem.,0604800
POINT (-121.856287580912 37.403803161225),426,Sierramont Middle,Public School,3155 Kimlee Drive,San Jose,95132,School Website 2014/CA_DEPT_EDU,43693776093033,,37.403798209999998,-121.85627449,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369377,43693776111348,Berryessa Union Elementary,Elementary School District,Berryessa Union Elem.,0604800
POINT (-121.789561698311 37.328065564734),336,Norwood Creek Elementary,Public School,3241 Remington Way,San Jose,95148,School Website 2014/CA_DEPT_EDU,43694356102081,,37.328060610000001,-121.78954863,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369435,43694356117956,Evergreen Elementary,Elementary School District,Evergreen Elem.,0613140
POINT (-121.766158020649 37.311797763444),112,Chaboya Middle,Public School,3276 Cortona Drive,San Jose,95135,School Website 2014/CA_DEPT_EDU,43694356110159,,37.31179281,-121.76614496000001,09/04/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369435,43694356117956,Evergreen Elementary,Elementary School District,Evergreen Elem.,0613140
POINT (-122.018288886151 37.193724730627),473,Lakeside Elementary,Public School,19621 Black Road,Loca Gatos,95033,School Website 2014/CA_DEPT_EDU,43694926047351,,37.193719809999997,-122.0182758,10/09/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369492,43694926047351,Lakeside Joint,Elementary School District,Lakeside Jt.,0620700
POINT (-122.111243829497 37.420491117026),481,Martin J. Spangler,Public School,3880 Middlefield Road,Palo Alto,94306,School Website 2014/CA_DEPT_EDU,43104396085476,,37.420486179999997,-122.11123069999999,10/09/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.990382622961 37.396475438038),186,Fairwood Elementary,Public School,1110 Fairwood Avenue,Sunnyvale,94089,School Website 2014/CA_DEPT_EDU,43696906049217,,37.396470489999999,-121.99036952,09/11/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369690,43696906117196,Sunnyvale,Elementary School District,Sunnyvale,0638460
POINT (-121.881671690295 37.429871426275),373,Robert Randall Elementary,Public School,1300 Edsel Drive,Milpitas,95035,School Website 2014/CA_DEPT_EDU,43733876047674,,37.42986647,-121.88165859999999,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4373387,43733876067219,Milpitas Unified,Unified School District,Milpitas Unified,0624500
POINT (-121.877689784349 37.313436216895),377,Rocketship Alma Academy,Public School,198 West Alma Avenue,San Jose,95110,School Website 2014/CA_DEPT_EDU,43104390125799,,37.313431270000002,-121.87767669999999,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
