ADDRESS	ORGLD	ORIG LSPRC	LIST PRICE	SALE PRICE	SQFT	LOTSZ	COE	DOM	ZIP
1269 Karie Ann WAY	Jun-25	949,000	949,000	950,000	1575	6332	Jul-05	7	95118
5693 TUBAC LN	Apr-10	1,120,000	1,050,000	1,025,000	1176	6098	Jul-10	68	95118
5254 Dellwood WAY	Jun-05	1,099,000	1,099,000	1,060,000	1544	6699	Jul-10	5	95118
1292 Antwerp LN	May-16	1,149,000	1,049,000	1,075,000	1282	6096	Jul-16	26	95118
1580 Sabina WAY	Apr-12	1,199,000	1,079,000	1,105,000	1100	6617	Jul-03	53	95118
1277 Karie Ann WAY	Jun-06	1,299,000	1,299,000	1,250,000	1575	6500	Jul-12	11	95118
5754 Croydon AVE	May-24	1,298,000	1,298,000	1,289,000	1555	6140	Jul-02	18	95118
1582 Chambers DR	May-31	1,269,000	1,269,000	1,300,000	1984	6300	Jul-03	11	95118
4791 Calle De Tosca	May-02	1,249,000	1,249,000	1,300,000	1426	6402	Jul-01	18	95118
3031 Jenkins AVE	Apr-23	1,488,000	1,438,000	1,365,555	2079	6555	Jul-09	49	95118
1529 Calle De Stuarda	May-28	1,399,000	1,399,000	1,450,000	1614	6879	Jul-10	8	95118
