ZIP,ADDRESS,ORGLD,ORIG LSPRC,LIST PRICE,SALE PRICE,SQFT,LOTSZ,COE,DOM,LATITUDE,LONGITUDE
95124,1906 Bernice WAY,Jul-03,"900,000","900,000","940,000",1280,6251,Jul-03,0,37.2625141268736,-121.924607313907
95124,4004 Meridian AVE,Jun-07,"999,000","999,000","1,160,000",1359,6010,Jul-16,7,37.2977046,-121.9135719
95124,5162 Leigh AVE,  Apr-25,"1,268,000","1,183,388","1,172,100",1283,6179,Jul-15,51,37.2442206503358,-121.922547120017
95124,15250 Dickens AVE,Jun-01,"1,199,000","1,199,000","1,230,000",1206,8248,Jul-11,15,37.2474456757658,-121.937227715334
95124,2168 Rosswood DR,May-14,"1,339,000","1,249,000","1,245,000",1288,7089,Jul-10,28,37.2440373443888,-121.936905267299
95124,3803 Arbuckle DR,Apr-23,"1,298,000","1,298,000","1,270,000",1601,6330,Jul-05,43,37.2598877491563,-121.921313462183
95124,2417 Hecate PL,May-07,"1,398,888","1,333,888","1,300,000",2064,4621,Jul-16,45,37.2552614973695,-121.948871964308
95124,4793 Canberra CT,Jun-03,"1,298,000","1,298,000","1,350,000",1438,4477,Jul-08,8,37.2531300612245,-121.905327673469
95124,1658 Canna LN,Jun-03,"1,350,000","1,350,000","1,365,000",1569,6056,Jul-16,10,37.2311740490441,-121.907108370562
95124,1995 Assunta WAY,May-23,"1,480,000","1,480,000","1,445,000",1709,7278,Jul-08,12,37.2706519899042,-121.930628075706
95124,5134 Elrose AVE,May-16,"1,499,000","1,499,000","1,499,000",2028,6159,Jul-09,25,37.2448705121674,-121.913855490561
95124,1639 Wyndham DR,May-31,"1,460,000","1,460,000","1,550,000",1910,4160,Jul-09,11,37.2540059109633,-121.903220152348
95124,1691 Willow Creek DR,Jun-03,"1,550,000","1,550,000","1,576,000",2294,9161,Jul-02,10,37.2729659533836,-121.909506737581
95124,2356 Rupert DR,Jun-10,"1,548,800","1,548,800","1,580,000",1868,6623,Jul-11,9,37.2574485890362,-121.945601288277
95124,15251 Winton WAY,May-28,"1,688,000","1,688,000","1,800,000",1652,8200,Jul-16,9,37.2467915877712,-121.941698660545
95124,1859 Laurinda DR,May-16,"1,997,000","1,997,000","1,949,000",2270,7557,Jul-03,26,37.247126,-121.921016
